"annualEmissionsPerCapita","annualEmissions","id","name"
"0.26583755","11020218","1","Afghanistan"
"1.8296527","5144279","2","Albania"
"3.8586802","178132770","3","Algeria"
"5.244343","423874","4","Andorra"
"0.56545913","20780540","5","Angola"
"10.043082","144530","6","Anguilla"
"6.911837","644826","7","Antigua and Barbuda"
"4.2998033","195805970","8","Argentina"
"2.584923","7608323","9","Armenia"
"8.036588","867180","10","Aruba"
"14.478505","382972000","11","Australia"
"6.415725","58578050","12","Austria"
"4.2582173","43936972","13","Azerbaijan"
"6.272632","2505352","14","Bahamas"
"23.271013","36526764","15","Bahrain"
"0.6615086","113426860","16","Bangladesh"
"4.2215004","1191738","17","Barbados"
"6.197136","56490772","18","Belarus"
"7.1177025","83368480","19","Belgium"
"1.6247674","667898","20","Belize"
"0.3963094","5592317","21","Benin"
"8.079226","522532","22","Bermuda"
"2.178551","1713060","23","Bhutan"
"1.9078085","23359406","24","Bolivia"
"3.8460999","114883","25","Bonaire Sint Eustatius and Saba"
"6.3356104","20179128","26","Bosnia and Herzegovina"
"2.7068784","6713559","27","Botswana"
"2.3040092","486470080","28","Brazil"
"4.7567644","185295","29","British Virgin Islands"
"25.646858","11769600","30","Brunei"
"5.311196","36093596","31","Bulgaria"
"0.2686812","6186583","32","Burkina Faso"
"0.05184301","709700","33","Burundi"
"1.1580942","20178442","34","Cambodia"
"0.3503871","9941406","35","Cameroon"
"13.977411","549299000","36","Canada"
"1.0242758","534969","37","Cape Verde"
"0.054579318","281213","38","Central African Republic"
"0.15939671","3079389","39","Chad"
"3.9314575","77287704","40","Chile"
"8.366814","11902503000","41","China"
"2.0114","105238664","42","Colombia"
"0.52771086","448731","43","Comoros"
"1.2412342","7674340","44","Congo"
"5.1297364","72832","45","Cook Islands"
"1.621601","8279034","46","Costa Rica"
"0.42340288","13195601","47","Cote d'Ivoire"
"4.497998","17524080","48","Croatia"
"2.0959787","23097436","49","Cuba"
"10.914814","2023421","50","Curacao"
"5.3342433","7174221","51","Cyprus"
"7.92107","85624184","52","Czechia"
"0.0436333","4615953","53","Democratic Republic of Congo"
"4.5837965","27264778","54","Denmark"
"0.42721647","492543","55","Djibouti"
"2.4528415","163060","56","Dominica"
